,competition,game,team,role,player,rater,is_human,rate,goals,assists,shots_ontarget,shots_offtarget,shots_blocked,chances_to_score,drib_success,drib_unsuccess,key_passes,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,was_fouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,yellow_cards,red_cards,dang_mistakes,countattack,offsides,missed_penalties,own_goals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness_to_goals,win,lost,is_home_team,mins,game_duration
289,euro_2016,"Wales - Slovakia, 2 - 1",Slovakia,Sub,Ondrej Duda,Kicker,1,3.0,1,0,1,0,0,0,0,0,0,19,14,1,0,0,1,0,1,2,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.071428571,0.128803548,0.635338346,0.180722892,0.2,0.1,0,1,0,30,90
290,euro_2016,"Wales - Slovakia, 2 - 1",Slovakia,Sub,Ondrej Duda,TheGuardian,1,7.0,1,0,1,0,0,0,0,0,0,19,14,1,0,0,1,0,1,2,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.071428571,0.128803548,0.635338346,0.180722892,0.2,0.1,0,1,0,30,90
291,euro_2016,"Wales - Slovakia, 2 - 1",Slovakia,Sub,Ondrej Duda,WhoScored,0,6.93,1,0,1,0,0,0,0,0,0,19,14,1,0,0,1,0,1,2,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.071428571,0.128803548,0.635338346,0.180722892,0.2,0.1,0,1,0,30,90
292,euro_2016,"Wales - Slovakia, 2 - 1",Slovakia,Sub,Adam Nemec,Kicker,1,4.5,0,0,0,1,0,1,0,0,0,13,4,6,0,0,0,1,0,2,2,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0,0.104932431,0.710084034,0.120481928,0.181818182,0.0,0,1,0,30,90
293,euro_2016,"Wales - Slovakia, 2 - 1",Slovakia,Sub,Adam Nemec,TheGuardian,1,7.0,0,0,0,1,0,1,0,0,0,13,4,6,0,0,0,1,0,2,2,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0,0.104932431,0.710084034,0.120481928,0.181818182,0.0,0,1,0,30,90
294,euro_2016,"Wales - Slovakia, 2 - 1",Slovakia,Sub,Adam Nemec,WhoScored,0,6.22,0,0,0,1,0,1,0,0,0,13,4,6,0,0,0,1,0,2,2,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0,0.104932431,0.710084034,0.120481928,0.181818182,0.0,0,1,0,30,90
299,euro_2016,"Wales - Slovakia, 2 - 1",Slovakia,Sub,Miroslav Stoch,TheGuardian,1,6.0,0,0,0,0,0,0,0,0,0,9,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714,0.05579922,0.603571429,0.060240964,0.0,0.0,0,1,0,90,90
300,euro_2016,"Wales - Slovakia, 2 - 1",Slovakia,Sub,Miroslav Stoch,WhoScored,0,6.03,0,0,0,0,0,0,0,0,0,9,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714,0.05579922,0.603571429,0.060240964,0.0,0.0,0,1,0,90,90
301,euro_2016,"Turkey - Croatia, 0 - 1",Croatia,DMC,Luka Modric,WhoScored,0,8.72,1,0,1,0,0,0,1,1,1,69,49,6,1,0,7,2,6,4,0,0,9,1,1,2,0,6,2,0,0,0,0,0,1,0,0,0,0,1.5,0.197887473,0.694444444,0.546875,1.255953098,0.0,1,0,0,90,90
302,euro_2016,"Turkey - Croatia, 0 - 1",Croatia,DMC,Luka Modric,SofaScore,0,8.0,1,0,1,0,0,0,1,1,1,69,49,6,1,0,7,2,6,4,0,0,9,1,1,2,0,6,2,0,0,0,0,0,1,0,0,0,0,1.5,0.197887473,0.694444444,0.546875,1.255953098,0.0,1,0,0,90,90
